id,2023-09-30
MLA875581243,39360.0
MLA901385365,18999.0
MLA1257938765,22999.0
MLA1130291307,38071.34
MLA1356377514,52499.0
MLA1137442652,18000.0
MLA1450871060,459.0
MLA652455115,22080.0
MLA1399075772,5500.0
MLA1471301016,4654.05
MLA1354996033,2988.0
MLA1426297342,4419.0
MLA828175127,7920.11
MLA1457337934,23099.0
MLA834338649,6468.55
MLA902163525,6201.0
MLA1400553790,15453.0
MLA1286443445,37758.18
MLA1159585817,1360.0
MLA1363551657,8188.7
MLA1524459540,920.0
MLA1275521940,7686.0
MLA886024987,11490.0
MLA917000809,6927.85
MLA1332893241,3813.79
MLA1172517871,5247.89
MLA1387879663,8683.0
MLA1190752740,7115.5
MLA1192735215,35999.99
MLA1140752218,4481.4
MLA1381014918,9287.0
MLA1118309582,3130.0
MLA923914077,25529.47
MLA1440264548,52499.0
MLA1182512745,25594.45
MLA1280826710,549.0
MLA1453324398,8999.0
MLA883777958,70000.0
MLA1380705319,4190.0
MLA928738106,19999.0
MLA1378432186,6149.4
MLA1405462908,16726.0
MLA1508237860,3855.49
MLA723538651,31644.0
MLA1104350007,24570.0
MLA777303576,39961.0
MLA1510684648,24799.0
MLA932678371,1298.0
MLA1145171798,5035.0
MLA1372292955,12490.0
MLA1446894504,14960.0
MLA909331361,5325.81
MLA1404319826,2586.0
MLA1428230828,64683.0
MLA617856611,7593.82
MLA1265838932,3000.0
MLA1391723040,2750.0
MLA787884153,12281.65
MLA1159153516,827.0
MLA915346996,20500.0
MLA1361646379,23999.0
MLA1119231384,1099.0
MLA1403242526,34999.0
MLA1523505034,1709.05
MLA1365492955,4599.0
MLA1409596084,665.0
MLA1376674341,11852.4
MLA1293220068,3699.0
MLA864980103,11589.05
MLA1299065372,4674.6
MLA838972573,24818.0
MLA1118217443,62374.0
MLA1340807639,1417.66
MLA1279976039,182999.0
MLA1384264977,1957.0
MLA1374654579,5999.0
MLA1363128825,18216.0
MLA929442806,4125.0
MLA1520468226,199999.0
MLA1134794728,5690.0
MLA1379263835,20990.0
MLA666078078,17099.9
MLA760126916,54509.08
MLA666324734,6064.0
MLA1136524646,465.92
MLA852582558,19430.0
MLA907081123,41867.0
MLA931543343,2499.0
MLA1276848268,1750.0
MLA930838797,1379.0
MLA853277772,11966.81
MLA1418249024,32505.0
MLA1370809249,6000.0
MLA1386718253,9619.0
MLA1413520188,5750.0
MLA838503644,2860.0
MLA1471963760,38400.0
MLA1425568384,2397.05
MLA1156537616,11999.0
MLA1367803923,29812.0
MLA755195345,55849.0
MLA1118278919,2690.0
MLA1130746977,7350.8
MLA1421648060,32999.0
MLA1229014408,5900.0
MLA1109512470,4000.0
MLA1469762758,141692.0
MLA909047616,5378.0
MLA1444467502,3853.0
MLA603497228,7679.0
MLA1380585661,14849.1
MLA1120180947,3149.1
MLA1358939470,4299.99
MLA1322199077,697.0
MLA614808372,11644.44
MLA1440810808,14299.0
MLA1380975296,44503.56
MLA1356405449,20790.0
MLA1368276812,2499.0
MLA800910744,3736.06
MLA856285562,2799.99
MLA1418820160,68990.0
MLA1375853215,8699.0
MLA793434289,7090.0
MLA759314338,19190.0
MLA919987762,1199.0
MLA1134747988,7110.9
MLA882138351,8900.0
MLA1254695741,9100.0
MLA1439340102,84690.0
MLA1451525120,95849.0
MLA1279595170,1112.0
MLA1338187663,18575.99
MLA843824854,2500.0
MLA827429359,32600.0
MLA913770194,1501.5
MLA1364452073,2694.0
MLA1256844800,12999.0
MLA678772210,10248.0
MLA1506129736,2949.0
MLA1466232024,147528.44
MLA1388711509,11998.0
MLA1360865206,4499.0
MLA1348131932,3325.0
MLA1153529684,7314.23
MLA1145944528,6799.0
MLA1375519905,5300.0
MLA1371103997,4499.0
MLA1373376151,3741.25
MLA1403093740,23989.0
MLA932307552,1316.34
MLA1105414309,4156.0
MLA1505942570,1599.0
MLA1113725393,22990.0
MLA1149526917,61919.0
MLA1465461804,3910.48
MLA1349396890,6999.0
MLA1380795347,14253.23
MLA1387124572,1590.0
MLA817586151,5900.0
MLA1289519016,14865.0
MLA926502127,6462.85
MLA1512806726,2367.99
MLA1150558169,3899.0
MLA904359979,2232.5
MLA613621034,5380.0
MLA777656210,101499.3
MLA1388839761,13932.0
