id,2024-03-31,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16
MLA1464438470,15404.0,15404.0,15404.0,15404.0,15404.0,15404.0,15404.0,15404.0,15404.0,15404.0,15404.0,15404.0,15404.0,15404.0,15404.0,15404.0,15404.0
MLA1391598685,14227.0,14227.0,14227.0,14227.0,14227.0,14227.0,14227.0,14227.0,14227.0,14227.0,14227.0,14227.0,14227.0,14227.0,14227.0,14227.0,14227.0
MLA1607998030,14949.0,14949.0,14949.0,14949.0,14949.0,14949.0,11199.0,11199.0,11199.0,10464.0,14949.0,11199.0,11199.0,11199.0,11199.0,11199.0,14949.0
MLA1400191477,8750.0,8750.0,8750.0,8750.0,8750.0,8750.0,8750.0,8750.0,8750.0,8750.0,8750.0,8750.0,8750.0,8750.0,8750.0,8750.0,8750.0
MLA1597489568,11211.0,11211.0,11211.0,11211.0,11211.0,11211.0,11211.0,11211.0,11211.0,11211.0,11211.0,11211.0,11211.0,11211.0,11211.0,11211.0,11211.0
MLA1592143740,5586.0,5586.0,5586.0,5586.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0
MLA1394390035,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,3171.0,3171.0,3171.0,3171.0,3171.0
MLA1428732366,15448.0,15448.0,15448.0,15448.0,15448.0,15448.0,15448.0,15448.0,15448.0,15448.0,15448.0,16220.0,16220.0,16220.0,16220.0,16220.0,16220.0
MLA1479725142,159334.56,155253.24,155253.24,155253.24,155253.24,155253.24,155253.24,155253.24,155253.24,155253.24,155253.24,155253.24,155253.24,155253.24,155253.24,155253.24,189684.0
MLA1393602711,63490.0,63490.0,63490.0,57141.0,57141.0,57141.0,57141.0,57141.0,57141.0,57141.0,57141.0,57141.0,57141.0,57141.0,57141.0,63490.0,63490.0
MLA1412829406,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,3171.0,3171.0,3171.0,3171.0,3171.0
MLA1561190050,25400.0,25400.0,25400.0,23368.0,23368.0,23368.0,23368.0,23368.0,23368.0,23368.0,23368.0,23368.0,23368.0,23368.0,23368.0,25400.0,25400.0
MLA1457874138,14949.0,14949.0,14949.0,14949.0,14949.0,14949.0,11199.0,11199.0,11199.0,10464.0,14949.0,11199.0,11199.0,11199.0,11199.0,11199.0,14949.0
MLA1369782858,44822.53,44822.53,44822.53,54822.53,54822.53,49304.78,49304.78,49304.78,49304.78,49304.78,49304.78,49304.78,51770.02,51770.02,51770.02,51770.02,51770.02
MLA1489044662,17261.0,17261.0,17261.0,17261.0,17261.0,17261.0,17261.0,17261.0,17261.0,17261.0,17261.0,17261.0,17261.0,17261.0,17261.0,17261.0,17261.0
MLA1563198968,15173.0,15173.0,15173.0,15173.0,15173.0,15173.0,15173.0,15173.0,15173.0,15173.0,15173.0,15173.0,15173.0,15173.0,15173.0,15173.0,15173.0
MLA1468579988,155253.24,155253.24,155253.24,155253.24,155253.24,155253.24,155253.24,155253.24,155253.24,155253.24,189684.0,189684.0,189684.0,189684.0,189684.0,155253.24,155253.24
MLA1272357988,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,7928.0,3171.0,3171.0,3171.0,3171.0,3171.0
MLA872166746,22110.0,22110.0,22110.0,22110.0,22110.0,22110.0,22110.0,22110.0,22110.0,19456.8,19456.8,18793.5,18793.5,18793.5,18793.5,19456.8,19456.8
MLA1442347102,3650.0,3601.0,3601.0,3601.0,3601.0,3601.0,3601.0,3601.0,3601.0,3601.0,3601.0,3581.0,3581.0,3581.0,3581.0,3581.0,3581.0
MLA1709928936,18520.0,18520.0,18520.0,16659.0,16659.0,16659.0,16659.0,16659.0,16659.0,16659.0,16659.0,16659.0,16659.0,16659.0,16659.0,18520.0,18520.0
MLA881367021,83849.0,83849.0,83849.0,83849.0,83849.0,83849.0,83849.0,83849.0,83849.0,83849.0,83849.0,85999.0,85999.0,85999.0,85999.0,85999.0,85999.0
MLA1106005059,10743.0,10743.0,10743.0,10743.0,10743.0,10743.0,10743.0,10743.0,10743.0,9976.0,10743.0,10743.0,10743.0,10743.0,10743.0,10743.0,10743.0
MLA1481900310,16450.0,16450.0,16450.0,16450.0,16450.0,16450.0,16450.0,16450.0,16450.0,16450.0,16450.0,16450.0,16450.0,16450.0,16450.0,16450.0,16450.0
MLA1384730125,10710.0,10710.0,10710.0,10710.0,10710.0,10710.0,10710.0,10710.0,10710.0,10710.0,10710.0,10710.0,10710.0,10710.0,10710.0,10710.0,10710.0
MLA1460975848,15859.0,15859.0,15859.0,15859.0,15859.0,15859.0,15859.0,15859.0,15859.0,15859.0,15859.0,15859.0,15859.0,15859.0,15859.0,15859.0,15859.0
MLA1709915748,18520.0,18520.0,18520.0,16659.0,16659.0,16659.0,16659.0,16659.0,16659.0,16659.0,16659.0,16659.0,16659.0,16659.0,16659.0,18520.0,18520.0
MLA1396068201,15859.0,15859.0,15859.0,15859.0,15859.0,15859.0,15859.0,14725.0,15859.0,13594.0,15859.0,14725.0,14725.0,14725.0,14725.0,14725.0,15859.0
MLA1389404709,18373.0,18373.0,18373.0,18373.0,18373.0,18373.0,18373.0,17145.0,17145.0,15923.0,18373.0,17145.0,17145.0,17145.0,17145.0,24498.0,24498.0
MLA1388872453,56698.95,56698.95,56698.95,56698.95,56698.95,53864.0,53864.0,53864.0,53864.0,53864.0,53864.0,53864.0,53864.0,51170.8,51170.8,51170.8,51170.8
MLA1371759733,56241.0,56241.0,56241.0,56241.0,56241.0,56241.0,56241.0,56241.0,56241.0,56241.0,56241.0,56241.0,56241.0,56241.0,56241.0,56241.0,56241.0
MLA1146056028,73247.0,73247.0,73247.0,73247.0,73247.0,73247.0,73247.0,73247.0,73247.0,73247.0,73247.0,73247.0,73247.0,73247.0,73247.0,73247.0,73247.0
MLA1147837637,70738.8,70738.8,70738.8,70738.8,70738.8,70738.8,70738.8,70738.8,70738.8,70738.8,70738.8,70738.8,70738.8,70738.8,70738.8,70738.8,70738.8
MLA1371760871,8134.0,8134.0,8134.0,8134.0,8134.0,8134.0,8134.0,8134.0,8134.0,8134.0,8134.0,8134.0,8134.0,8134.0,8134.0,10846.0,10846.0
