id,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17
MLA617419021,1089.0,1089.0,1089.0,1089.0,1089.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1865.0,1865.0,1865.0,1865.0,1865.0
MLA1339809658,9190.31,8990.52,8990.52,8990.52,8990.52,7991.57,7991.57,7991.57,7991.57,7991.57,7991.57,7991.57,7991.57,11987.37,11987.37,9589.9,9589.9,9589.9
MLA660370579,1425.0,1425.0,1425.0,1425.0,1425.0,1955.0,1955.0,1955.0,1955.0,1955.0,1955.0,1955.0,1955.0,2445.0,2445.0,2445.0,2445.0,2445.0
MLA1123464153,8990.0,8990.0,8990.0,8990.0,8990.0,8990.0,8990.0,8990.0,8990.0,8990.0,8990.0,8990.0,8990.0,18142.0,18142.0,18917.0,18917.0,18917.0
MLA1173627659,4136.55,4136.55,4136.55,4136.55,4136.55,4136.55,4136.55,4136.55,4136.55,4136.55,4136.55,4136.55,4136.55,4136.55,4136.55,4136.55,4136.55,4136.55
MLA1123196686,15999.0,15999.0,15999.0,15999.0,15999.0,15999.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,15900.0,23170.0,20460.0,20460.0,20460.0,20460.0
MLA884188556,6290.0,6290.0,6290.0,7290.0,7290.0,7290.0,7290.0,7290.0,7290.0,7290.0,7290.0,7290.0,7290.0,8290.0,8290.0,8290.0,8290.0,8290.0
MLA1348126890,18500.0,17575.0,17575.0,17575.0,17575.0,17575.0,17575.0,17575.0,17575.0,17575.0,17575.0,17575.0,17575.0,23550.5,23550.5,23550.5,23550.5,23550.5
MLA856999852,43990.0,43990.0,43990.0,43990.0,43990.0,46190.0,46190.0,46190.0,46190.0,46190.0,46190.0,46190.0,55630.0,76769.4,76769.4,66021.68,66021.68,66021.68
MLA1348126912,18500.0,17205.0,17205.0,17205.0,17205.0,17205.0,17205.0,17205.0,17205.0,17205.0,17205.0,17205.0,17205.0,23550.5,23550.5,23550.5,23550.5,23550.5
MLA1147213957,7920.0,7920.0,7920.0,7920.0,7920.0,7920.0,7920.0,7920.0,7920.0,7920.0,7920.0,7920.0,7920.0,8712.0,8712.0,8712.0,8712.0,8712.0
MLA1107584041,18055.95,18055.95,18055.95,18055.95,18055.95,18055.95,18055.95,18055.95,18055.95,18055.95,18055.95,18055.95,18055.95,19861.55,19861.55,19861.55,19861.55,19861.55
MLA1552519948,5600.0,5600.0,5600.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,7448.0,7448.0,7448.0,7448.0,7448.0
MLA852422345,40470.8,43990.0,43990.0,43990.0,43990.0,46190.0,46190.0,46190.0,46190.0,46190.0,46190.0,46190.0,55630.0,76769.4,76769.4,66021.68,66021.68,66021.68
MLA1420640586,3131.0,3131.0,3131.0,3131.0,3131.0,3131.0,3131.0,3131.0,3131.0,3131.0,3131.0,3131.0,9645.0,4250.0,4250.0,4250.0,4250.0,4250.0
MLA1119052589,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,8162.0,2850.0,2850.0,2850.0,2850.0,2850.0
MLA918910278,3670.0,3670.0,3670.0,3670.0,3303.0,3303.0,3303.0,3303.0,3303.0,3303.0,3303.0,3303.0,3303.0,7340.0,4285.0,4285.0,4285.0,4285.0
MLA1461846832,4000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
MLA1106008635,2409.0,2409.0,2409.0,2409.0,2409.0,2409.0,2409.0,2409.0,2409.0,2409.0,2409.0,2409.0,3373.0,7421.0,7421.0,7421.0,7421.0,7421.0
MLA1109655748,5747.76,5172.98,5172.98,5172.98,5172.98,5172.98,5172.98,5172.98,5172.98,5172.98,5172.98,5172.98,5172.98,6322.54,6322.54,6006.41,6006.41,6006.41
MLA1315117941,4464.0,4464.0,4464.0,4464.0,4464.0,4464.0,4464.0,4464.0,4464.0,4464.0,4464.0,4464.0,4464.0,4464.0,5870.0,5870.0,5870.0,5870.0
MLA868407556,7980.0,7980.0,7980.0,7980.0,8280.0,8280.0,8280.0,8280.0,8280.0,8280.0,8280.0,8280.0,8280.0,11426.4,11426.4,9826.7,9826.7,9826.7
MLA896130505,6890.0,6890.0,6890.0,6890.0,6890.0,6890.0,7890.0,7890.0,7890.0,7890.0,7890.0,7890.0,7890.0,7890.0,9790.0,9790.0,9790.0,9790.0
MLA855268743,34950.8,37990.0,37990.0,37990.0,37990.0,39890.0,39890.0,39890.0,39890.0,39890.0,39890.0,39890.0,46190.0,63742.2,63742.2,54818.29,54818.29,54818.29
MLA852197662,34950.8,34950.8,37990.0,37990.0,37990.0,39890.0,39890.0,39890.0,39890.0,39890.0,39890.0,39890.0,46190.0,63742.2,63742.2,54818.29,54818.29,54818.29
MLA1135513454,4999.0,4570.0,4570.0,4570.0,4570.0,5027.0,5027.0,5027.0,5027.0,5027.0,5027.0,5027.0,5027.0,5574.0,5574.0,5574.0,5574.0,5574.0
MLA1558643944,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,4000.0,4000.0,4000.0,4000.0,7200.0,7200.0,7200.0,6480.0,6480.0
MLA920680461,4073.4,4526.0,4526.0,4526.0,4526.0,4526.0,4526.0,4526.0,4526.0,4526.0,4526.0,4526.0,4526.0,5746.0,5746.0,5746.0,5746.0,5746.0
MLA924899523,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1600.0,1600.0,1600.0,1600.0,1600.0
MLA1434737422,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2500.0,2500.0,2500.0,2500.0,2500.0
MLA1365584581,4175.1,4639.0,4639.0,4639.0,4639.0,4639.0,4639.0,4639.0,4639.0,4639.0,4639.0,4639.0,4639.0,5300.0,5300.0,5360.0,5360.0,5360.0
MLA924328629,3133.0,3133.0,3133.0,3133.0,3133.0,3133.0,3133.0,3133.0,3133.0,3133.0,3133.0,3133.0,3133.0,3509.0,3509.0,3509.0,3509.0,3509.0
MLA1396713461,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,4000.0,4000.0,4000.0,4000.0,7200.0,7200.0,7200.0,6480.0,6480.0
MLA1396700751,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,4000.0,4000.0,4000.0,4000.0,7200.0,7200.0,7200.0,6480.0,6480.0
MLA910145489,22990.8,24990.0,24990.0,24990.0,27490.0,26290.0,26290.0,26290.0,26290.0,26290.0,26290.0,26290.0,28990.0,40006.2,40006.2,34405.33,34405.33,34405.33
MLA1558694614,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,4000.0,4000.0,4000.0,4000.0,7200.0,7200.0,7200.0,6480.0,6480.0
MLA919622224,3157.0,3157.0,3157.0,3157.0,3157.0,3157.0,3157.0,3157.0,3157.0,3157.0,3157.0,3157.0,3157.0,3579.0,3579.0,3639.0,3639.0,3639.0
