id,2023-09-24,2023-09-28,2023-09-29
MLA1135025752,5454.0,5454.0,5454.0
MLA1435998658,20218.47,20218.47,19399.0
MLA1374301343,8236.0,8236.0,7558.0
MLA1225733867,6369.0,6369.0,6369.0
MLA1135006678,4750.0,4750.0,4750.0
MLA851481207,1428.9,1428.9,1428.9
MLA1411111796,6650.0,6650.0,6650.0
MLA1436074616,20611.0,20611.0,20611.0
MLA1375604207,6137.0,6137.0,6555.9
MLA1380289485,36347.94,36347.94,36347.94
MLA1435998674,20470.0,20470.0,20470.0
MLA1112867544,1333.0,1333.0,1333.0
MLA786484650,920.0,920.0,920.0
MLA1374288605,8030.1,8030.1,8133.05
MLA1189755409,40800.0,40800.0,40800.0
MLA1110645225,2179.0,2179.0,2179.0
MLA836722522,1949.55,1949.55,1949.55
MLA1135007403,4538.0,4538.0,4538.0
MLA1143044925,1899.0,1899.0,1899.0
MLA1207535155,16498.99,16498.99,16498.99
MLA852274509,14999.0,14999.0,14999.0
MLA875317955,2374.05,2374.05,2374.05
MLA1135006615,1000.0,1000.0,1000.0
MLA875264792,24821.0,24821.0,24821.0
MLA852277802,19303.0,19303.0,19303.0
MLA1134971409,9000.0,9000.0,9000.0
MLA1150962362,15639.99,15639.99,15639.99
MLA866517743,19753.0,19753.0,19753.0
MLA654524197,3172.03,3172.03,3172.03
MLA1146285080,41015.3,41015.3,43208.54
MLA1362841781,5820.0,5820.0,5960.0
MLA916826888,15600.0,15600.0,15600.0
MLA1436539142,10096.0,10096.0,10348.0
MLA1420571720,100971.7,100971.7,106371.02
MLA1134984780,10000.0,10000.0,10000.0
MLA1375534933,21720.0,21720.0,21720.0
MLA1155758505,1487.12,1487.12,1487.12
MLA1377286919,2999.0,2999.0,2999.0
MLA852271584,27508.2,27508.2,27508.2
MLA1186154847,4600.0,4600.0,4600.0
MLA1158552547,4600.0,4600.0,4600.0
MLA1162806052,35841.6,35841.6,37758.18
MLA758044691,2600.0,2600.0,2600.0
MLA779836884,30427.55,30427.55,32054.62
MLA910148145,4725.0,4725.0,4725.0
MLA1175014917,5272.0,5272.0,5404.0
MLA1341025414,35841.6,35841.6,37758.18
MLA700221396,25510.06,25510.06,27323.58
MLA829324220,3672.83,3672.83,3672.83
MLA873671705,156023.25,156023.25,164366.38
MLA1382214863,4600.0,4600.0,4600.0
MLA1162800098,29515.55,29515.55,31093.85
MLA747636427,6000.0,6000.0,6000.0
MLA747657933,6000.0,6000.0,6000.0
MLA924340085,4499.0,4499.0,4499.0
MLA748314086,6000.0,6000.0,6000.0
MLA761987603,13702.8,13702.8,14435.54
MLA715673805,19500.0,19500.0,19500.0
MLA902058097,4899.99,4899.99,4899.99
MLA1446874078,4600.0,4600.0,4600.0
MLA1168777662,46164.43,46164.43,49165.77
MLA831031384,8363.52,8363.52,8363.52
MLA1151530321,4400.0,4400.0,4400.0
MLA1107449421,4339.74,4339.74,4339.74
MLA681345271,21813.58,21813.58,21813.58
MLA911140272,2601.74,2601.74,2601.74
MLA616975860,6035.39,6035.39,6035.39
MLA704626282,12731.86,12731.86,12731.86
MLA764996540,1225.12,1225.12,1225.12
MLA1181184149,1568.0,1568.0,1568.0
MLA1184123757,1529.5,1529.5,1580.0
MLA928081396,3690.0,3690.0,3690.0
MLA884635041,12999.0,12999.0,12999.0
MLA877652266,44650.15,44650.15,42933.0
MLA1211414793,51320.0,51320.0,51320.0
MLA781018999,6246.5,6246.5,6246.5
MLA1211233157,42834.0,42834.0,42834.0
MLA853970898,8304.72,8304.72,8304.72
MLA916052551,21490.0,21490.0,21490.0
MLA747381914,5262.75,5262.75,5262.75
MLA1376701435,21990.0,21990.0,24990.0
