id,2024-04-30,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05
MLA1366146465,14235.0,14235.0,14235.0,14235.0,14235.0,14235.0
MLA1388322532,3279.2,3279.2,3279.2,4314.74,4314.74,4314.74
MLA1279872861,2100.95,1995.9,2100.95,2100.95,2100.95,2100.95
MLA1339979941,7800.0,10000.0,9198.08,9198.08,9198.08,9198.08
MLA1532630532,1439.99,1359.99,1439.99,1439.99,1439.99,1439.99
MLA1286116592,942.5,1068.16,1131.0,1131.0,1131.0,1131.0
MLA1418601681,2999.4,2999.4,4749.05,4749.05,4749.05,2999.4
MLA1732458416,790.5,790.5,790.5,790.5,790.5,790.5
MLA1349078038,1420.84,1776.05,1776.05,1776.05,1776.05,1776.05
MLA1453357790,31200.0,40000.0,34036.35,34036.35,34036.35,34036.35
MLA1447385912,4890.0,4645.5,4890.0,4890.0,4890.0,4890.0
MLA1373088534,1981.69,1981.69,1981.69,1981.69,1981.69,1981.69
MLA1422994699,1420.0,1420.0,1348.05,1348.05,1348.05,1348.05
MLA1464406470,5119.39,5119.39,5119.39,5119.39,5119.39,5119.39
MLA1737306932,943.35,993.0,993.0,993.0,993.0,993.0
MLA1272955460,1300.0,1227.77,1300.0,1300.0,1300.0,1300.0
MLA1618161832,1399.99,1322.2,1399.99,1399.99,1399.99,1399.99
MLA1150226501,649.0,616.55,649.0,649.0,649.0,649.0
MLA1360996719,5119.39,5119.39,5119.39,5119.39,5119.39,5119.39
MLA1272832659,1189.66,1175.83,1245.0,1245.0,1245.0,1245.0
MLA1283542383,2235.0,2235.0,2235.0,2235.0,2235.0,2235.0
MLA1403861333,2179.69,2179.68,2179.68,2179.68,2179.68,2179.68
MLA1154269244,1696.69,1611.85,2396.69,2396.69,2396.69,2396.69
MLA1744983872,6334.0,6017.3,6665.0,6665.0,6665.0,6665.0
MLA1399975110,1712.83,1627.18,1712.83,1712.83,1712.83,1712.83
MLA1428895968,3276.0,3276.0,3276.0,3276.0,3276.0,3276.0
MLA1396602331,2575.2,2575.2,2575.2,3388.42,3388.42,3388.42
