id,2023-12-31,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-06,2024-01-07,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-13,2024-01-14,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-20,2024-01-21,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30,2024-01-31
MLA932669117,46601.14,46601.14,46601.14,46601.14,46601.14,46601.14,46601.14,46601.14,66573.06,59912.03,59912.03,47929.62,47929.62,47929.62,47929.62,47929.62,61094.03,61094.03,61094.03,61094.03,61094.03,61094.03,61094.03,61094.03,61094.03,61094.03,61094.03,61094.03,61094.03,61094.03,61094.03,61094.03
MLA1275413907,37000.0,37000.0,37000.0,37000.0,37000.0,40950.0,40950.0,42259.5,42259.5,42259.5,51000.0,51000.0,51000.0,55845.0,55845.0,55845.0,55845.0,55845.0,55845.0,55845.0,55845.0,55845.0,55845.0,55845.0,55845.0,55845.0,55845.0,55845.0,55845.0,55845.0,60697.93,60697.93
MLA1449797618,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0
MLA1123228647,13790.8,13790.8,13790.8,13790.8,13790.8,13790.8,13790.8,13790.8,13790.8,14990.0,15990.0,15990.0,15990.0,15990.0,15190.5,14870.7,14870.7,14870.7,14870.7,14870.7,14870.7,14870.7,14870.7,14870.7,14870.7,14870.7,14870.7,14870.7,14870.7,16730.7,16730.7,16730.7
MLA1466980250,19499.0,19499.0,19499.0,19499.0,19499.0,19499.0,19499.0,19499.0,57483.08,57483.08,57483.08,57483.08,57483.08,57483.08,57483.08,57483.08,57483.08,57483.08,57483.08,57483.08,57483.08,57483.08,57483.08,57483.08,57483.08,57483.08,57483.08,57483.08,57483.08,17279.68,17279.68,17279.68
MLA1381686633,130927.0,130927.0,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5,142312.5
MLA694763579,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,70500.0,70500.0,70500.0,70500.0,70500.0,70500.0,70500.0,70500.0,70500.0,70500.0,70500.0,70500.0,70500.0,70500.0,70500.0,70500.0,70500.0,70500.0,70500.0,70500.0,70500.0,70500.0
MLA852882431,20020.0,20020.0,20020.0,20020.0,20020.0,20020.0,20020.0,20020.0,20020.0,20240.0,22001.0,20900.95,20461.0,20461.0,20461.0,20461.0,20461.0,20461.0,20461.0,20461.0,20461.0,20461.0,23001.0,23001.0,23001.0,23001.0,23001.0,23001.0,23001.0,23001.0,23001.0,23001.0
MLA922045312,22792.19,22792.19,22792.19,22792.19,22792.19,22792.19,22792.19,22792.19,22792.19,22792.19,22792.19,22792.19,22792.19,22792.19,22792.19,22792.19,22792.19,22792.19,22792.19,22792.19,22792.19,22792.19,26211.02,26211.02,26211.02,26211.02,26211.02,26211.02,26211.02,26211.02,26211.02,26211.02
MLA836266348,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0,63627.0
MLA619053853,55500.0,55500.0,55500.0,55500.0,55500.0,55500.0,55500.0,55500.0,55500.0,55500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0
MLA791377837,98540.0,98540.0,98540.0,98540.0,98540.0,98540.0,98540.0,98540.0,98540.0,98540.0,98540.0,98540.0,98540.0,98540.0,98540.0,98540.0,98540.0,98540.0,107408.6,107408.6,107408.6,107408.6,108230.0,108230.0,108230.0,108230.0,108230.0,108230.0,108230.0,108230.0,108230.0,108230.0
MLA654232465,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0,82500.0
MLA875037106,25570.48,25570.48,25570.48,25570.48,25570.48,25570.48,25570.48,25570.48,27794.0,26703.0,29025.0,29025.0,27573.75,27573.75,27573.75,27573.75,29025.0,29025.0,29825.0,28333.75,28333.75,28333.75,28333.75,28333.75,28333.75,28333.75,27439.0,27439.0,27439.0,27439.0,27439.0,27439.0
MLA815632568,41589.0,41589.0,41589.0,41589.0,41589.0,41589.0,41589.0,41589.0,46823.0,46823.0,47291.0,47291.0,47291.0,47291.0,47291.0,47291.0,47291.0,47291.0,47291.0,47291.0,47291.0,47291.0,47291.0,47291.0,47291.0,48060.0,48060.0,48060.0,48060.0,48060.0,48060.0,48060.0
MLA869623384,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0,11890.0
MLA840289260,55460.0,55460.0,55460.0,55460.0,55460.0,55460.0,55460.0,55460.0,55460.0,55460.0,55460.0,55460.0,55460.0,55460.0,55460.0,55460.0,55460.0,55460.0,55460.0,56580.0,56580.0,56580.0,56580.0,56580.0,56580.0,56580.0,57430.0,57430.0,57430.0,57430.0,57430.0,57430.0
MLA1137631409,71500.0,71500.0,71500.0,71500.0,71500.0,71500.0,71500.0,71500.0,71500.0,71500.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0
MLA1112894966,103360.0,117238.21,134492.26,118757.0,118757.0,118757.0,118757.0,123733.0,118757.0,123733.0,123733.0,118757.0,118757.0,118757.0,123733.0,118757.0,118757.0,118757.0,118757.0,135367.21,135367.21,135367.21,135367.21,135367.21,124538.0,118757.0,124538.0,124538.0,124538.0,118757.0,118757.0,135367.21
MLA1124854521,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0,50120.0,54630.8,54630.8,54630.8,54630.8,54780.0,54780.0,54780.0,54780.0,54780.0,54780.0,54780.0,54780.0,54780.0,54780.0
MLA620262548,110000.0,110000.0,110000.0,110000.0,110000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0
MLA741487072,76500.0,76500.0,76500.0,76500.0,76500.0,76500.0,76500.0,76500.0,76500.0,76500.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0
MLA713919309,75500.0,75500.0,75500.0,75500.0,75500.0,75500.0,75500.0,75500.0,75500.0,75500.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0
MLA1142714838,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,119686.7,137639.71,137639.71,137639.71,137639.71,137639.71,137639.71,137639.71
MLA782272291,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0,24352.0
MLA620674382,37217.0,37217.0,37217.0,37217.0,37217.0,37217.0,37217.0,37217.0,37216.98,37216.98,37216.98,37216.98,37216.98,37216.98,37216.98,37216.98,37216.98,37216.98,37216.98,37217.0,37217.0,37217.0,37217.0,37217.0,35832.0,35832.0,37217.0,37217.0,37217.0,37217.0,37217.0,37216.98
MLA867049822,14870.0,14870.0,14870.0,14870.0,14870.0,14870.0,13680.4,13680.4,13680.4,14870.0,14870.0,13829.1,13829.1,13829.1,13829.1,13829.1,13829.1,13829.1,10856.0,10856.0,10856.0,10856.0,14630.0,14630.0,14630.0,14630.0,14630.0,14630.0,14630.0,13605.9,13605.9,13605.9
